2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property attBonus with lazy=false
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [databases.task1.Magic:attBonus]
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.BasicValueBinder - building BasicValue for attBonus
2024-12-26 01:15:02 [main] DEBUG org.hibernate.mapping.BasicValue - Skipping column re-registration: magic.attack
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property attBonus
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(magic), mappingColumn=damage, insertable=true, updatable=true, unique=false}
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property damage with lazy=false
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [databases.task1.Magic:damage]
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.BasicValueBinder - building BasicValue for damage
2024-12-26 01:15:02 [main] DEBUG org.hibernate.mapping.BasicValue - Skipping column re-registration: magic.damage
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property damage
2024-12-26 01:15:02 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(magic), mappingColumn=name, insertable=true, updatable=true, unique=false}
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property name with lazy=false
2024-12-26 01:15:02 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [databases.task1.Magic:name]
